recipe_id,recipe_name,ingredients,cuisine,veg_nonveg,instructions,prep_time,difficulty,category,calories
237,Middle Eastern Eggplant Breakfast Mash,"Eggplant, garlic, olive oil, lemon juice, salt",Middle Eastern,veg,"Roast eggplant until soft. Scoop flesh and mash with garlic, olive oil, lemon juice, and salt. Serve warm with flatbread.",35,Medium,breakfast,330
238,Middle Eastern Stuffed Flatbread,"Flatbread dough, spinach, cheese, olive oil",Middle Eastern,veg,Prepare dough and rest. Stuff with spinach and cheese. Roll gently and cook on hot pan until golden on both sides. Serve warm.,45,High,breakfast,420
239,Continental Baked Vegetable Hash,"Potato, carrot, onion, olive oil, salt, pepper",Continental,veg,"Dice vegetables and toss with olive oil, salt, and pepper. Bake at 200C until crisp and golden. Serve hot.",35,Easy,breakfast,380
240,Continental Creamy Mushroom Toast,"Bread, mushroom, cream, butter, garlic",Continental,veg,Sauteee mushrooms and garlic in butter. Add cream and simmer gently. Spoon over toasted bread and serve warm.,25,Medium,breakfast,440
241,Continental Breakfast Casserole,"Bread, milk, egg, cheese, vegetables",Continental,non-veg,Layer bread and vegetables in baking dish. Whisk eggs and milk and pour over. Top with cheese and bake until set and golden.,45,High,breakfast,480
242,Continental Avocado Breakfast Toast,"Bread, avocado, olive oil, lemon juice, salt",Continental,veg,Mash avocado with lemon juice and salt. Spread over toasted bread. Drizzle olive oil and serve fresh.,10,Easy,breakfast,310
243,Continental Breakfast Veg Wrap,"Tortilla, scrambled eggs, vegetables, cheese",Continental,non-veg,"Scramble eggs lightly. Sauteee vegetables. Fill tortilla with eggs, vegetables, and cheese. Roll and toast lightly.",20,Medium,breakfast,430
244,Continental Breakfast Potato Rosti,"Potato, butter, salt, pepper",Continental,veg,Grate potatoes and squeeze excess moisture. Season and pan-fry in butter until crisp and golden on both sides. Serve hot.,30,High,breakfast,400
245,Vegetable Rava Uttapam,"Semolina, curd, onion, tomato, green chili, ginger, oil, salt",Indian,veg,"Mix semolina, curd, salt, and water to form a thick batter and rest for 15 minutes. Heat a pan and grease lightly with oil. Pour batter and spread gently. Top with chopped onion, tomato, green chili, and ginger. Cook on medium heat until base is golden, flip and cook other side. Serve hot with chutney.",30,Easy,breakfast,360
246,Masala Vegetable Poha Cutlets,"Flattened rice, potato, onion, green peas, spices, oil",Indian,veg,"Soak poha briefly and drain. Mash boiled potato and peas. Mix poha with vegetables, spices, and salt. Shape into cutlets. Shallow fry on medium heat until crisp and golden on both sides. Serve hot.",35,Medium,breakfast,410
247,Stuffed Vegetable Paratha,"Wheat flour, potato, carrot, spices, oil",Indian,veg,"Prepare dough using wheat flour and water. Mix grated vegetables with spices to make stuffing. Stuff dough balls, roll gently, and cook on hot tawa using oil until golden. Serve hot with curd.",40,Medium,breakfast,450
248,South Indian Vegetable Pongal,"Rice, moong dal, carrot, pepper, cumin, ghee",Indian,veg,Dry roast rice and dal lightly. Cook with vegetables and water until soft. Temper ghee with cumin and crushed pepper and mix into pongal. Cook until creamy and serve hot.,35,Easy,breakfast,380
249,Paneer Bhurji Toast,"Paneer, onion, tomato, bread, butter, spices",Indian,veg,Sauteee onion and tomato with spices. Add crumbled paneer and cook briefly. Spread mixture over toasted bread with butter and serve hot.,25,Easy,breakfast,420
250,Vegetable Millet Dosa,"Millet batter, carrot, onion, oil",Indian,veg,Prepare fermented millet batter. Heat tawa and pour batter thinly. Sprinkle chopped vegetables and drizzle oil. Cook until crisp and golden. Serve hot with chutney.,30,Medium,breakfast,340
251,Spiced Chickpea Breakfast Stir Fry,"Boiled chickpeas, onion, garlic, spices, oil",Indian,veg,Heat oil and saut garlic and onion. Add chickpeas and spices. Cook on medium heat until slightly crisp. Serve hot with lemon wedges.,25,Easy,breakfast,370
252,Traditional Vegetable Thepla,"Wheat flour, fenugreek leaves, spices, oil",Indian,veg,"Mix flour, chopped fenugreek, spices, and oil to form soft dough. Roll thin and cook on tawa with oil until golden spots appear. Serve warm.",35,Medium,breakfast,390
253,Stuffed Moong Dal Chilla,"Moong dal, paneer, onion, spices, oil",Indian,veg,"Soak and grind moong dal into batter. Prepare paneer-onion stuffing. Spread batter on pan, add stuffing, cover with batter, and cook until golden. Serve hot.",45,High,breakfast,430
254,Classic Rice Kheer,"Basmati rice, milk, sugar, cardamom, cashews, raisins, ghee",Indian,veg,"Wash and soak rice for 20 minutes. Boil milk in a heavy-bottom pan and add drained rice. Cook on low heat, stirring frequently, until rice is soft and milk thickens. Add sugar and cardamom powder and mix well. Fry cashews and raisins in ghee and add to kheer. Simmer for 5 minutes and serve warm or chilled.",40,Easy,dessert,320
255,Suji Halwa,"Semolina, ghee, sugar, water, cardamom, cashews",Indian,veg,Heat ghee in a pan and roast semolina on low heat until aromatic and lightly golden. Boil water separately and carefully add to roasted semolina while stirring. Add sugar and cardamom and cook until mixture thickens. Garnish with fried cashews and serve hot.,25,Easy,dessert,410
256,Coconut Ladoo,"Desiccated coconut, condensed milk, cardamom, ghee",Indian,veg,"Heat ghee in a pan and add desiccated coconut. Roast lightly on low heat. Add condensed milk and cardamom and cook until mixture thickens. Cool slightly, shape into small ladoos, and serve.",20,Easy,dessert,360
257,Gajar Ka Halwa,"Carrot, milk, sugar, ghee, cardamom, cashews",Indian,veg,Heat ghee in a pan and saut grated carrot until soft. Add milk and cook on medium heat until milk reduces completely. Add sugar and cardamom and cook until halwa thickens. Garnish with fried cashews and serve warm.,45,Medium,dessert,420
258,Besan Ladoo,"Gram flour, ghee, powdered sugar, cardamom",Indian,veg,"Heat ghee and roast gram flour on very low heat until deep golden and aromatic. Allow to cool slightly, then add powdered sugar and cardamom. Mix well and shape into ladoos while warm.",35,Medium,dessert,390
259,Shrikhand,"Thick curd, powdered sugar, cardamom, saffron",Indian,veg,Tie curd in muslin cloth and hang for 6 hours to remove whey. Whisk thickened curd with powdered sugar until smooth. Add cardamom and soaked saffron. Chill and serve.,30,Medium,dessert,300
260,Mysore Pak,"Gram flour, ghee, sugar, water",Indian,veg,"Prepare sugar syrup to one-string consistency. Mix gram flour with melted ghee and add gradually to syrup while stirring. Cook on low heat until mixture thickens and leaves sides. Pour into greased tray, cool slightly, cut, and serve.",45,High,dessert,480
261,Rasmalai,"Milk, lemon juice, sugar, cardamom, saffron",Indian,veg,Boil milk and curdle using lemon juice. Strain and knead chenna until smooth. Shape into discs and cook in sugar syrup. Prepare thickened saffron milk and soak cooked discs. Chill and serve.,60,High,dessert,350
262,Malpua,"Flour, milk, sugar, fennel seeds, ghee",Indian,veg,"Prepare batter using flour, milk, sugar, and fennel seeds. Rest for 30 minutes. Heat ghee and pour batter to form pancakes. Fry until golden and crisp. Serve warm.",40,Medium,dessert,450
263,Baked Sandesh,"Paneer, powdered sugar, cardamom",Indian,veg,Knead paneer until smooth. Mix powdered sugar and cardamom. Shape into discs and bake at 180C for 10 to 12 minutes until lightly set. Cool and serve.,35,High,dessert,330
264,Classic Churros,"Flour, water, butter, sugar, cinnamon, oil",Mexican,veg,"Heat water, butter, and sugar in a saucepan until butter melts and mixture boils. Reduce heat and add flour at once, stirring continuously until a smooth dough forms and leaves the sides of the pan. Remove from heat and let dough cool for 5 minutes. Transfer to piping bag with star nozzle. Heat oil to 180C. Pipe strips of dough directly into hot oil. Fry until golden brown and crisp, about 34 minutes. Drain excess oil. Roll churros in cinnamon sugar and serve warm.",35,Medium,dessert,420
265,New York Cheesecake,"Cream cheese, biscuit base, butter, sugar, egg, vanilla",Continental,veg,"Mix crushed biscuits with melted butter and press firmly into a springform pan. Chill for 20 minutes. Beat cream cheese until smooth. Add sugar and vanilla and mix well. Add eggs one at a time, mixing gently to avoid air bubbles. Pour filling over base. Bake at 160C for 55 to 60 minutes until edges are set and center slightly jiggles. Turn off oven, leave door slightly open, and cool cheesecake inside. Refrigerate for at least 4 hours before slicing.",90,High,dessert,480
266,Belgian Waffles,"Flour, milk, egg, butter, sugar, baking powder",Continental,veg,"Whisk flour, sugar, and baking powder in a bowl. Add milk, eggs, and melted butter. Mix until smooth batter forms. Let batter rest for 10 minutes for better texture. Preheat waffle iron and lightly grease it. Pour batter and cook until waffles are golden and crisp. Serve immediately with syrup, butter, or fruits.",25,Easy,dessert,390
267,Chocolate Brownies,"Dark chocolate, butter, sugar, flour, eggs",Continental,veg,"Melt chocolate and butter together using a double boiler or microwave. Whisk sugar into the warm mixture until glossy. Add eggs one at a time, mixing well after each addition. Fold in flour gently without overmixing. Pour batter into lined baking tray. Bake at 170C for 25 to 30 minutes until edges are set and center is fudgy.",40,Medium,dessert,460
268,Tiramisu Cups,"Mascarpone, coffee, biscuits, cocoa powder, sugar",Italian,veg,Brew strong coffee and let it cool completely. Whisk mascarpone with sugar until smooth and creamy. Dip biscuits briefly into coffee without soaking. Layer dipped biscuits and mascarpone cream in serving cups. Repeat layers and finish with cream. Dust with cocoa powder and chill for at least 2 hours before serving.,30,Medium,dessert,430
269,Chocolate Lava Cake,"Dark chocolate, butter, sugar, egg, flour",Continental,veg,Melt chocolate and butter together until smooth. Whisk sugar and eggs until slightly thickened. Combine chocolate mixture with eggs and mix gently. Fold in flour until just incorporated. Pour batter into greased ramekins. Bake at 200C for 10 to 12 minutes until edges are firm and center remains molten.,35,High,dessert,470
270,Red Velvet Cupcakes,"Flour, cocoa powder, butter, sugar, egg, cream cheese",Continental,veg,"Preheat oven to 180C and line cupcake tray. Mix flour and cocoa powder in a bowl. Cream butter and sugar until light, then add eggs. Add dry ingredients and red coloring, mixing gently. Bake cupcakes for 18 to 20 minutes and cool completely. Frost with cream cheese frosting and serve.",45,Medium,dessert,410
271,Fruit Yogurt Parfait,"Yogurt, honey, granola, mixed fruits",Continental,veg,Chop fruits into small bite-sized pieces. Sweeten yogurt with honey and mix well. Add a layer of yogurt to serving glass. Add granola followed by fruits. Repeat layers until glass is full. Serve chilled for best taste.,15,Easy,dessert,280
272,Chocolate Truffles,"Dark chocolate, cream, cocoa powder",Continental,veg,"Heat cream until just beginning to simmer. Pour hot cream over chopped chocolate. Let sit for 2 minutes, then stir until smooth ganache forms. Refrigerate mixture until firm enough to scoop. Roll into small balls using palms. Coat with cocoa powder and chill again before serving.",30,Medium,dessert,350
273,Banoffee Pie,"Banana, cream, caramel, biscuit base, butter",Continental,veg,Prepare biscuit base and press into pie dish. Chill until firm. Spread thick layer of caramel evenly over base. Slice bananas and arrange over caramel. Whip cream until soft peaks form. Spread cream on top evenly. Chill for 1 hour before slicing.,40,Medium,dessert,440
274,Pancake Stack with Syrup,"Flour, milk, egg, sugar, butter, maple syrup",Continental,veg,"Mix flour, sugar, milk, and eggs to form smooth batter. Heat pan and lightly grease with butter. Pour batter and cook until bubbles appear on surface. Flip and cook until golden brown. tack pancakes neatly. Drizzle maple syrup and serve warm.",20,Easy,dessert,400
275,No-Bake Oreo Cheesecake,"Cream cheese, Oreo biscuits, butter, sugar",Continental,veg,Crush Oreo biscuits and mix with melted butter. Press into pan. Chill. Beat cream cheese with sugar until smooth. Fold in crushed Oreos gently. Spread mixture over base evenly. Refrigerate for at least 4 hours until set. Slice and serve chilled.,35,Medium,dessert,450
276,Apple Crumble,"Apple, flour, butter, sugar, cinnamon",Continental,veg,"Peel and slice apples. Cook with sugar and cinnamon until soft. Transfer apples to baking dish. Mix flour, butter, and sugar to form crumbly topping. Spread crumble evenly over apples. Bake at 180C for 35 to 40 minutes until golden. Serve warm.",45,Medium,dessert,380
277,Chocolate Mousse,"Dark chocolate, cream, sugar",Continental,veg,Melt chocolate and allow to cool slightly. Whip cream with sugar until soft peaks form. Fold melted chocolate gently into whipped cream. Spoon into serving bowls. Chill for at least 2 hours. Serve cold.,25,Easy,dessert,360
278,Nutella Stuffed Crepes,"Flour, milk, egg, Nutella, butter",Continental,veg,"Whisk flour, milk, and eggs to form thin batter. Heat pan and lightly grease with butter. Pour batter and spread thinly. Cook briefly on both sides. Spread Nutella on warm crepe. Fold or roll crepe neatly. Serve warm with powdered sugar.",30,Medium,dessert,420
279,French Toast with Berries,"Bread slices, milk, egg, sugar, butter, mixed berries",Continental,veg,"Whisk milk, eggs, and sugar until well combined. Dip bread slices into mixture, coating both sides evenly. Heat butter on a pan over medium heat. Cook soaked bread until golden brown on both sides. Warm berries lightly in the same pan. Serve toast topped with berries.",10,Easy,dessert,360
280,Molten Chocolate Cookies,"Flour, butter, brown sugar, egg, dark chocolate",Continental,veg,Cream butter and brown sugar until fluffy. Add egg and mix thoroughly. Fold in flour and chopped chocolate. Shape dough balls and chill for 15 minutes. Bake at 180C for 10 to 12 minutes until edges are set. Cool slightly before serving.,20,Medium,dessert,410
281,Lemon Tart,"Flour, butter, sugar, lemon juice, eggs",Continental,veg,"Prepare shortcrust pastry and line tart tin. Blind bake crust at 180C for 15 minutes. Whisk lemon juice, sugar, and eggs until smooth. Pour filling into baked crust. Bake again until filling sets. Cool completely before slicing.",30,High,dessert,390
282,Caramel Custard,"Milk, sugar, eggs, vanilla",Continental,veg,Heat sugar until golden caramel forms. Pour caramel into mold and set aside. Heat milk gently with vanilla. Whisk eggs and pour warm milk slowly while stirring. Pour mixture into caramel mold. Steam or bake in water bath until set.,20,Medium,dessert,300
283,Cinnamon Rolls,"Flour, yeast, milk, sugar, butter, cinnamon",Continental,veg,"Prepare yeast dough and let rise until doubled. Roll dough into rectangle. Spread butter, sugar, and cinnamon evenly. Roll tightly and slice into rolls. Bake until golden and fluffy. Cool slightly before serving.",40,High,dessert,430
284,Chocolate Fudge,"Condensed milk, cocoa powder, butter, sugar",Continental,veg,"Heat butter and condensed milk over low heat. Add cocoa powder and sugar, stirring constantly. Cook until thick and glossy. Pour into greased tray. Level surface evenly. Cool and cut into squares.",10,Easy,dessert,380
285,Strawberry Shortcake,"Flour, butter, sugar, cream, strawberries",Continental,veg,"Bake soft sponge cake and allow to cool. Whip cream until soft peaks form. Slice strawberries and mix with sugar. Slice cake horizontally. Layer cake, cream, and strawberries. Chill briefly before serving.",30,Medium,dessert,400
286,Vanilla Ice Cream,"Milk, cream, sugar, vanilla",Continental,veg,"Heat milk, cream, and sugar until dissolved. Cool mixture completely. Add vanilla extract and mix. Pour into ice cream maker or freeze with periodic stirring. Continue freezing until creamy. Serve chilled.",20,Medium,dessert,320
287,Peanut Butter Cookies,"Peanut butter, sugar, egg",Continental,veg,"Mix peanut butter, sugar, and egg thoroughly. Shape dough into small balls. Flatten using fork. Arrange on baking tray. Bake until lightly browned. Cool before serving.",10,Easy,dessert,350
288,Mango Panna Cotta,"Cream, sugar, gelatin, mango puree",Italian,veg,Heat cream and sugar until dissolved. Add soaked gelatin and mix until smooth. Pour mixture into molds. Chill until set. Top with mango puree. Serve cold.,20,Medium,dessert,340
289,Baked Rice Pudding,"Rice, milk, sugar, cardamom",Continental,veg,Wash rice thoroughly. Boil milk and add rice. Cook until rice softens. Add sugar and cardamom. Transfer to baking dish. Bake until top sets.,15,Medium,dessert,310
290,Hazelnut Chocolate Spread Toast,"Bread, hazelnut chocolate spread, butter",Continental,veg,Toast bread slices until crisp. Spread butter lightly while warm. Add hazelnut chocolate spread evenly. Allow spread to melt slightly. Cut diagonally if desired. Serve immediately.,5,Easy,dessert,290
291,Baked Donuts,"Flour, milk, sugar, yeast, butter",Continental,veg,Prepare yeast dough and let rise. Roll dough and cut donut shapes. Place on baking tray and rest briefly. Bake until lightly golden. Brush with melted butter. Coat with sugar.,35,Medium,dessert,370
292,Chocolate Banana Bread,"Banana, flour, cocoa powder, sugar, butter",Continental,veg,Mash ripe bananas until smooth. Mix with melted butter and sugar. Add flour and cocoa powder. Pour batter into loaf pan. Bake until toothpick comes out clean. Cool before slicing.,20,Medium,dessert,420
